Auditing all 48 Boolean classes and the six starting functions
Level 1: 48 distinct classes cover all 2^26 affine cosets; six selected
Level 2 seed 1: 20 orbit extensions, 9 pass capacity (0.42s)
Level 2 seed 2: 111 orbit extensions, 99 pass capacity (0.45s)
Level 2 seed 3: 179 orbit extensions, 175 pass capacity (0.44s)
Level 2 seed 4: 197 orbit extensions, 184 pass capacity (0.44s)
Level 2 seed 5: 2073 orbit extensions, 2047 pass capacity (0.41s)
Level 2 seed 6: 1048 orbit extensions, 1023 pass capacity (0.45s)
Classifying 3537 level-2 maps
Level 2: 1782 CCZ classes
Level 3 parent 71/1782: 2911 candidates, 796 capacity, 0 extendable (0.37s)
Level 3 parent 72/1782: 2601 candidates, 914 capacity, 0 extendable (0.27s)
Level 3 parent 73/1782: 2526 candidates, 202 capacity, 0 extendable (0.23s)
Level 3 parent 74/1782: 2364 candidates, 207 capacity, 0 extendable (0.23s)
Level 3 parent 75/1782: 2072 candidates, 210 capacity, 0 extendable (0.24s)
Level 3 parent 76/1782: 4158 candidates, 1358 capacity, 37 extendable (0.36s)
Level 3 parent 77/1782: 2348 candidates, 328 capacity, 0 extendable (0.24s)
Level 3 parent 78/1782: 2554 candidates, 464 capacity, 0 extendable (0.26s)
Level 3 parent 79/1782: 1900 candidates, 346 capacity, 0 extendable (0.22s)
Level 3 parent 80/1782: 2612 candidates, 138 capacity, 0 extendable (0.21s)
Level 3 parent 81/1782: 2892 candidates, 1086 capacity, 0 extendable (0.37s)
Level 3 parent 82/1782: 2588 candidates, 516 capacity, 0 extendable (0.23s)
Level 3 parent 83/1782: 3276 candidates, 816 capacity, 0 extendable (0.29s)
Level 3 parent 84/1782: 2842 candidates, 354 capacity, 0 extendable (0.24s)
Level 3 parent 85/1782: 4008 candidates, 1024 capacity, 74 extendable (0.31s)
Level 3 parent 86/1782: 3304 candidates, 200 capacity, 0 extendable (0.22s)
Level 3 parent 87/1782: 3616 candidates, 1994 capacity, 0 extendable (0.41s)
Level 3 parent 88/1782: 2952 candidates, 568 capacity, 0 extendable (0.27s)
Level 3 parent 89/1782: 3256 candidates, 1706 capacity, 0 extendable (0.31s)
Level 3 parent 90/1782: 3817 candidates, 1238 capacity, 0 extendable (0.25s)
Level 3 parent 91/1782: 2950 candidates, 290 capacity, 0 extendable (0.25s)
Level 3 parent 92/1782: 2544 candidates, 320 capacity, 0 extendable (0.27s)
Level 3 parent 93/1782: 4124 candidates, 240 capacity, 0 extendable (0.24s)
Level 3 parent 94/1782: 2378 candidates, 1484 capacity, 0 extendable (0.29s)
Level 3 parent 95/1782: 2452 candidates, 1216 capacity, 0 extendable (0.33s)
Level 3 parent 96/1782: 3162 candidates, 1142 capacity, 0 extendable (0.27s)
Level 3 parent 97/1782: 2588 candidates, 256 capacity, 0 extendable (0.21s)
Level 3 parent 98/1782: 6544 candidates, 1252 capacity, 0 extendable (0.29s)
Level 3 parent 99/1782: 3860 candidates, 296 capacity, 0 extendable (0.24s)
Level 3 parent 100/1782: 2644 candidates, 1031 capacity, 0 extendable (0.38s)
Level 3 parent 101/1782: 2433 candidates, 632 capacity, 0 extendable (0.25s)
Level 3 parent 102/1782: 2616 candidates, 1018 capacity, 0 extendable (0.30s)
Level 3 parent 103/1782: 2765 candidates, 1155 capacity, 0 extendable (0.38s)
Level 3 parent 104/1782: 2495 candidates, 901 capacity, 0 extendable (0.25s)
Level 3 parent 105/1782: 2498 candidates, 782 capacity, 0 extendable (0.25s)
Level 3 parent 106/1782: 2630 candidates, 1166 capacity, 0 extendable (0.34s)
Level 3 parent 107/1782: 598 candidates, 273 capacity, 0 extendable (0.22s)
Level 3 parent 108/1782: 2596 candidates, 1208 capacity, 0 extendable (0.32s)
Level 3 parent 109/1782: 2379 candidates, 713 capacity, 0 extendable (0.31s)
Level 3 parent 110/1782: 2321 candidates, 632 capacity, 0 extendable (0.28s)
Level 3 parent 111/1782: 2536 candidates, 1091 capacity, 0 extendable (0.30s)
Level 3 parent 112/1782: 2561 candidates, 911 capacity, 0 extendable (0.36s)
Level 3 parent 113/1782: 3168 candidates, 1476 capacity, 0 extendable (0.31s)
Level 3 parent 114/1782: 2765 candidates, 705 capacity, 0 extendable (0.25s)
Level 3 parent 115/1782: 2689 candidates, 863 capacity, 0 extendable (0.26s)
Level 3 parent 116/1782: 2464 candidates, 766 capacity, 0 extendable (0.29s)
Level 3 parent 117/1782: 715 candidates, 271 capacity, 0 extendable (0.23s)
Level 3 parent 118/1782: 2939 candidates, 1406 capacity, 0 extendable (0.29s)
Level 3 parent 119/1782: 2410 candidates, 740 capacity, 0 extendable (0.25s)
Level 3 parent 120/1782: 2696 candidates, 792 capacity, 0 extendable (0.25s)
Level 3 parent 121/1782: 2536 candidates, 998 capacity, 0 extendable (0.32s)
Level 3 parent 122/1782: 2693 candidates, 977 capacity, 0 extendable (0.30s)
Level 3 parent 123/1782: 2510 candidates, 786 capacity, 0 extendable (0.34s)
Level 3 parent 124/1782: 2198 candidates, 792 capacity, 0 extendable (0.24s)
Level 3 parent 125/1782: 2578 candidates, 865 capacity, 0 extendable (0.33s)
Level 3 parent 126/1782: 2686 candidates, 1117 capacity, 0 extendable (0.34s)
